Episode: 0 | Steps: 2344/10000000 | Avg reward: -2.300000 | loss: 0.000000 | Best: 0.000000
Episode: 10 | Steps: 26031/10000000 | Avg reward: -11.600000 | loss: 0.000490 | Best: 0.000000
Episode: 20 | Steps: 49505/10000000 | Avg reward: 1.600000 | loss: 0.005259 | Best: 0.000000
Episode: 30 | Steps: 73171/10000000 | Avg reward: -0.600000 | loss: 0.003817 | Best: 1.600000
Episode: 40 | Steps: 96718/10000000 | Avg reward: 0.800000 | loss: 0.005713 | Best: 1.600000
Episode: 50 | Steps: 120374/10000000 | Avg reward: 2.200000 | loss: 0.024913 | Best: 1.600000
Episode: 60 | Steps: 143975/10000000 | Avg reward: 6.000000 | loss: 0.044608 | Best: 2.200000
Episode: 70 | Steps: 167626/10000000 | Avg reward: 4.100000 | loss: 0.009139 | Best: 6.000000
Episode: 80 | Steps: 191364/10000000 | Avg reward: 2.400000 | loss: 0.034423 | Best: 6.000000
Episode: 90 | Steps: 214958/10000000 | Avg reward: 0.200000 | loss: 0.011319 | Best: 6.000000
Episode: 100 | Steps: 238636/10000000 | Avg reward: 4.000000 | loss: 0.027836 | Best: 6.000000
Episode: 110 | Steps: 262330/10000000 | Avg reward: 4.000000 | loss: 0.035440 | Best: 6.000000
Episode: 120 | Steps: 285994/10000000 | Avg reward: 3.300000 | loss: 0.010936 | Best: 6.000000
Episode: 130 | Steps: 309405/10000000 | Avg reward: 9.700000 | loss: 0.014049 | Best: 6.000000
Episode: 140 | Steps: 332935/10000000 | Avg reward: 7.600000 | loss: 0.042760 | Best: 9.700000
Episode: 150 | Steps: 356655/10000000 | Avg reward: 10.300000 | loss: 0.029414 | Best: 9.700000
Episode: 160 | Steps: 379717/10000000 | Avg reward: 7.200000 | loss: 0.034440 | Best: 10.300000
Episode: 170 | Steps: 403410/10000000 | Avg reward: 9.300000 | loss: 0.028786 | Best: 10.300000
Episode: 180 | Steps: 426958/10000000 | Avg reward: 14.000000 | loss: 0.043487 | Best: 10.300000
Episode: 190 | Steps: 450577/10000000 | Avg reward: 8.500000 | loss: 0.228272 | Best: 14.000000
Episode: 200 | Steps: 474178/10000000 | Avg reward: 12.600000 | loss: 0.057823 | Best: 14.000000
Episode: 210 | Steps: 497798/10000000 | Avg reward: 13.700000 | loss: 0.024479 | Best: 14.000000
Episode: 220 | Steps: 521380/10000000 | Avg reward: 13.900000 | loss: 0.037297 | Best: 14.000000
Episode: 230 | Steps: 544722/10000000 | Avg reward: 13.200000 | loss: 0.045402 | Best: 14.000000
Episode: 240 | Steps: 568308/10000000 | Avg reward: 14.700000 | loss: 0.051647 | Best: 14.000000
